Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,MathScore
male,group D,associate's degree,standard,none,single,sometimes,no,2,private,52
male,group D,,standard,completed,married,regularly,no,1,private,61
female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,0
male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,39
male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,62
female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,59
male,group B,some high school,standard,none,married,never,yes,1,private,63
male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,45
female,group C,some college,standard,none,married,regularly,no,3,school_bus,61
male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,62
female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,39
male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,64
female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,42
male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,59
male,group C,some high school,standard,,married,sometimes,yes,2,private,47
male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,44
male,group E,some high school,standard,none,,sometimes,no,5,school_bus,28
male,group A,,standard,completed,,regularly,yes,,,82
female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,62
female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,60
female,group B,associate's degree,standard,none,married,regularly,yes,0,private,49
male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,49
male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,50
male,group E,associate's degree,standard,none,married,regularly,yes,0,private,74
male,group D,high school,free/reduced,none,married,never,,3,private,40
female,group C,some college,standard,none,divorced,sometimes,yes,0,private,73
female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,73
female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,71
female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,57
female,group D,some high school,standard,none,single,sometimes,yes,,private,75
male,group C,high school,free/reduced,none,divorced,regularly,no,4,,27
male,group C,high school,standard,none,divorced,sometimes,no,1,,68
male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,45
female,group B,some college,standard,none,married,regularly,yes,4,private,81
male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,63
female,,some college,standard,completed,married,never,yes,0,school_bus,59
female,group D,some college,free/reduced,none,single,regularly,yes,2,,61
female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,64
male,group B,some college,standard,none,married,sometimes,no,7,school_bus,79
male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,68
female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,87
male,group B,high school,standard,completed,married,regularly,no,3,school_bus,61
male,,some college,standard,completed,married,regularly,yes,1,school_bus,100
female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,58
female,group D,master's degree,standard,none,married,sometimes,no,3,private,87
male,group E,,standard,completed,single,sometimes,yes,0,school_bus,66
female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,52
female,group B,some high school,standard,none,single,regularly,no,3,school_bus,72
female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,79
male,group C,high school,standard,none,single,regularly,no,6,,63
male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,54
female,group D,some college,standard,none,married,never,yes,1,school_bus,47
female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,98
male,group C,high school,standard,none,married,sometimes,yes,4,private,84
female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,72
female,group D,bachelor's degree,standard,none,married,never,no,2,private,75
female,group D,some high school,standard,none,single,regularly,yes,0,private,54
female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,55
female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,76
male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,88
female,group C,some college,standard,completed,single,regularly,yes,1,,90
male,group D,high school,free/reduced,none,married,sometimes,no,3,private,63
male,group E,some college,standard,none,single,regularly,no,3,school_bus,82
female,group B,high school,standard,none,single,never,yes,2,school_bus,86
male,group B,,standard,none,married,,no,3,private,72
male,group D,some college,standard,,married,regularly,no,3,school_bus,64
male,group D,master's degree,standard,none,single,never,yes,2,private,77
female,group A,bachelor's degree,standard,none,,regularly,yes,0,school_bus,52
male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,87
male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,52
male,,some college,free/reduced,completed,married,regularly,yes,2,school_bus,89
female,,some college,standard,completed,married,never,no,6,,70
male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,76
male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,,56
male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,51
male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,67
female,group C,associate's degree,standard,,married,sometimes,yes,1,private,59
male,group D,some college,standard,completed,married,sometimes,yes,0,private,73
female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,76
female,group C,some college,free/reduced,none,married,regularly,no,2,private,60
female,group E,some college,free/reduced,completed,single,regularly,,1,private,41
male,group A,high school,standard,none,single,sometimes,no,1,school_bus,57
male,group D,some college,standard,none,divorced,sometimes,yes,3,private,90
female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,21
female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,65
male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,100
male,group A,some high school,standard,completed,married,sometimes,no,2,private,62
female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,57
male,group D,bachelor's degree,standard,none,married,sometimes,no,1,,54
male,group D,some high school,standard,none,single,never,no,2,,58
female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,69
female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,67
male,group B,,free/reduced,none,,sometimes,yes,2,school_bus,58
female,group B,associate's degree,standard,,divorced,regularly,yes,2,private,62
male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,70
male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,82
female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,75
male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,48
male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,52
female,group E,master's degree,standard,none,married,never,yes,3,private,76
female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,96
male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,53
female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,62
female,group B,high school,standard,completed,married,regularly,yes,2,private,70
male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,76
male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,91
female,group D,some college,standard,none,single,never,yes,3,school_bus,76
female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,63
female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,41
female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,81
female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,44
female,group C,associate's degree,standard,completed,married,regularly,yes,,school_bus,70
female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,54
female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,99
male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,60
female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,46
female,group E,high school,standard,none,married,sometimes,yes,3,private,50
female,group D,associate's degree,standard,none,single,sometimes,no,,private,63
male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,61
male,group E,high school,standard,none,married,never,yes,1,school_bus,75
male,group D,some high school,standard,completed,married,sometimes,no,4,private,62
male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,47
female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,74
female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,66
male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,73
female,group B,some high school,standard,none,single,sometimes,no,3,private,62
male,group D,some college,standard,completed,married,regularly,yes,4,,79
female,group C,master's degree,standard,completed,,regularly,yes,1,school_bus,69
male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,60
male,group C,,free/reduced,completed,married,never,yes,1,school_bus,57
male,group E,high school,free/reduced,none,married,,no,7,private,56
female,group B,some college,free/reduced,none,widowed,regularly,yes,3,,47
female,group B,bachelor's degree,free/reduced,,married,regularly,yes,3,private,80
female,group C,associate's degree,standard,completed,single,regularly,no,1,private,66
female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,63
male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,69
female,,associate's degree,standard,none,,regularly,yes,2,school_bus,58
male,group C,some college,standard,none,single,regularly,yes,1,,58
male,group D,some high school,standard,completed,married,,yes,,school_bus,71
male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,84
male,group E,high school,standard,completed,married,regularly,no,2,school_bus,83
female,group B,some college,free/reduced,none,married,regularly,yes,1,private,73
female,group B,some college,free/reduced,,single,sometimes,no,2,,58
male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,77
male,group C,some college,free/reduced,,married,sometimes,yes,3,school_bus,35
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,42
male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,61
male,group E,high school,standard,,married,sometimes,yes,1,private,87
male,group B,some high school,standard,completed,,regularly,no,2,private,86
female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,80
female,group C,high school,free/reduced,,married,regularly,no,3,,33
male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,64
male,group B,some high school,standard,completed,single,never,no,1,,59
female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,57
male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,89
female,group C,some high school,free/reduced,,divorced,sometimes,no,3,,55
male,group D,some high school,standard,none,married,regularly,no,3,school_bus,88
female,group B,associate's degree,standard,completed,divorced,regularly,,3,school_bus,55
female,group E,master's degree,free/reduced,none,married,sometimes,no,,private,43
female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,72
male,group D,high school,standard,none,single,regularly,yes,0,school_bus,58
male,group A,,free/reduced,none,divorced,sometimes,no,4,school_bus,68
female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,93
male,group D,some college,standard,none,married,regularly,yes,0,,78
male,group C,associate's degree,standard,none,married,regularly,,1,private,47
female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,67
male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,94
male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,85
male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,84
male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,62
female,group D,some high school,standard,,married,sometimes,yes,4,school_bus,62
male,group B,some college,standard,none,married,regularly,yes,2,private,57
male,group C,associate's degree,standard,none,,sometimes,yes,1,private,84
male,group D,high school,free/reduced,completed,divorced,,yes,1,private,75
female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,82
male,group E,some college,standard,,single,regularly,no,2,school_bus,58
male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,74
male,group C,associate's degree,standard,none,married,sometimes,no,3,private,82
male,group E,associate's degree,standard,,married,regularly,no,2,school_bus,91
female,group B,high school,standard,completed,single,sometimes,yes,1,private,58
female,group B,high school,standard,none,married,sometimes,yes,2,private,63
male,,high school,standard,none,married,sometimes,no,2,school_bus,70
male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,47
female,group D,some college,free/reduced,none,married,regularly,,4,school_bus,70
female,group B,some high school,standard,completed,single,sometimes,yes,3,private,60
male,group D,master's degree,standard,none,married,sometimes,no,3,school_bus,80
male,group D,high school,standard,none,married,sometimes,yes,0,private,54
female,group E,some college,standard,none,single,sometimes,no,1,school_bus,62
female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,62
male,,associate's degree,standard,completed,married,regularly,,1,school_bus,80
female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,65
male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,79
female,group C,some high school,free/reduced,none,married,regularly,no,2,private,45
female,group E,high school,standard,none,single,sometimes,yes,1,private,99
male,group D,high school,standard,none,married,sometimes,no,2,private,76
male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,57
female,,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,61
female,group D,high school,standard,none,married,regularly,no,3,school_bus,71
female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,93
female,group E,some college,free/reduced,none,married,sometimes,no,2,school_bus,71
male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,69
male,group C,some college,standard,,single,regularly,yes,1,,57
female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,48
female,group D,some college,standard,none,married,sometimes,no,2,private,65
male,group B,some college,standard,completed,widowed,,yes,1,school_bus,85
male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,83
female,group C,some high school,standard,completed,married,sometimes,yes,3,private,82
female,group E,,standard,completed,single,sometimes,no,4,school_bus,57
female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,65
male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,73
male,group D,high school,standard,none,divorced,sometimes,no,,private,45
female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,75
female,group D,some college,free/reduced,completed,,never,yes,2,school_bus,67
female,,some high school,standard,none,married,regularly,yes,0,private,36
male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,78
male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,99
female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,64
male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0,,85
male,,some high school,standard,completed,married,sometimes,yes,1,school_bus,79
male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,76
male,group D,some high school,standard,none,married,sometimes,yes,2,private,83
male,group C,some high school,standard,completed,married,never,yes,1,private,61
female,group E,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,66
male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,80
male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,66
male,,some high school,standard,completed,widowed,regularly,no,2,school_bus,47
male,,associate's degree,standard,completed,single,regularly,no,1,school_bus,73
male,group C,,free/reduced,completed,single,regularly,no,2,private,39
male,group D,associate's degree,free/reduced,none,married,regularly,no,2,,89
male,group A,some college,free/reduced,completed,married,never,yes,2,private,76
male,group D,some high school,free/reduced,,divorced,regularly,no,4,school_bus,55
female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,66
male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,82
female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,76
male,group A,some college,standard,none,,sometimes,yes,7,private,69
male,group E,some college,standard,completed,divorced,regularly,yes,5,private,100
male,group C,some high school,standard,none,single,regularly,no,2,,52
female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,56
female,group D,high school,free/reduced,,single,regularly,yes,5,,48
female,group B,associate's degree,standard,none,married,sometimes,no,2,school_bus,73
male,group B,bachelor's degree,standard,none,married,never,yes,3,school_bus,62
male,group D,bachelor's degree,standard,completed,single,sometimes,yes,0,private,67
female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,70
male,group C,high school,standard,none,married,regularly,no,3,private,73
female,group D,master's degree,standard,completed,widowed,never,yes,3,private,74
male,group C,associate's degree,standard,none,single,sometimes,no,1,school_bus,83
male,group B,bachelor's degree,standard,none,married,sometimes,yes,,private,61
female,group D,associate's degree,free/reduced,none,single,regularly,no,1,school_bus,55
female,group C,high school,free/reduced,,divorced,sometimes,yes,2,,64
female,group E,high school,standard,none,married,never,no,3,private,74
female,group C,some college,standard,none,married,regularly,yes,2,private,70
female,group C,some high school,free/reduced,none,married,sometimes,yes,5,private,40
female,group C,high school,free/reduced,none,divorced,sometimes,no,1,,39
female,group C,some college,standard,none,single,sometimes,yes,3,school_bus,82
male,group C,some college,standard,none,married,sometimes,yes,1,school_bus,61
male,group A,some college,free/reduced,none,married,regularly,yes,2,school_bus,29
male,group C,associate's degree,standard,completed,married,sometimes,yes,5,school_bus,82
female,group B,some high school,standard,none,married,sometimes,yes,2,school_bus,39
male,group C,high school,standard,none,single,regularly,yes,,school_bus,70
male,group C,associate's degree,standard,none,,sometimes,no,3,private,45
male,group E,associate's degree,standard,completed,married,never,no,3,school_bus,61
male,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,90
female,group C,bachelor's degree,standard,none,,sometimes,yes,1,,83
female,group B,some college,free/reduced,none,married,regularly,yes,2,,62
male,group D,some high school,standard,completed,married,regularly,no,,private,78
male,group C,associate's degree,standard,none,single,regularly,yes,2,,50
female,group B,some high school,free/reduced,none,single,sometimes,no,3,school_bus,23
female,group D,some high school,free/reduced,completed,married,sometimes,yes,3,school_bus,35
male,group C,high school,free/reduced,none,married,regularly,yes,1,school_bus,61
female,group C,,standard,none,married,regularly,yes,0,,62
female,group B,,standard,completed,single,sometimes,yes,1,school_bus,66
male,group D,associate's degree,standard,completed,single,sometimes,yes,3,private,64
male,group D,some college,standard,none,,regularly,yes,2,school_bus,78
female,group C,high school,standard,none,married,sometimes,yes,4,private,72
male,group B,,standard,none,married,sometimes,no,2,school_bus,62
female,group C,bachelor's degree,standard,completed,married,regularly,yes,0,,76
male,group E,associate's degree,standard,none,divorced,regularly,yes,2,private,92
female,group B,bachelor's degree,standard,none,married,sometimes,yes,0,private,52
male,group E,some college,standard,none,married,,no,4,school_bus,67
female,group C,some college,standard,completed,married,sometimes,no,1,school_bus,61
female,group C,associate's degree,standard,none,married,regularly,no,1,private,45
female,group C,some college,standard,none,married,never,yes,2,,55
female,group B,bachelor's degree,standard,none,single,regularly,no,3,school_bus,64
male,group A,,standard,none,married,sometimes,no,2,private,63
female,group C,some college,free/reduced,completed,married,sometimes,yes,1,private,40
female,group D,some college,standard,none,divorced,sometimes,no,1,private,77
female,group B,high school,standard,none,married,never,yes,1,school_bus,56
male,group B,some high school,standard,completed,single,regularly,yes,3,private,87
female,group C,some college,standard,none,single,regularly,no,2,private,53
female,group D,some high school,free/reduced,none,single,sometimes,no,3,school_bus,26
male,group C,some college,standard,none,divorced,regularly,yes,1,school_bus,60
male,group A,bachelor's degree,free/reduced,completed,married,regularly,no,2,private,51
male,group C,high school,standard,completed,married,sometimes,yes,2,,69
male,group C,bachelor's degree,free/reduced,none,married,regularly,,3,private,64
female,group A,some high school,free/reduced,none,single,sometimes,yes,2,private,44
female,group D,some high school,standard,none,single,regularly,yes,5,school_bus,71
male,group E,some college,standard,none,married,regularly,yes,3,private,86
female,group C,some college,free/reduced,completed,single,sometimes,no,4,school_bus,45
male,group D,some high school,standard,none,single,sometimes,yes,0,private,76
female,group D,some college,standard,completed,married,sometimes,yes,1,private,84
female,group D,bachelor's degree,standard,none,married,sometimes,yes,0,,60
female,group D,some high school,standard,none,single,sometimes,no,2,school_bus,82
female,group D,master's degree,free/reduced,completed,single,sometimes,yes,,private,85
female,group A,some high school,standard,none,single,sometimes,no,1,private,73
male,group A,bachelor's degree,standard,none,married,regularly,yes,1,private,67
female,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,80
male,group C,associate's degree,standard,completed,divorced,sometimes,yes,0,private,84
male,group C,master's degree,free/reduced,none,married,sometimes,no,2,,79
female,group E,some high school,free/reduced,none,divorced,regularly,yes,3,private,40
female,group A,some high school,free/reduced,none,divorced,never,no,5,private,35
female,group E,some college,standard,none,divorced,regularly,yes,2,private,69
female,group E,bachelor's degree,standard,none,single,sometimes,yes,0,school_bus,62
female,group C,,free/reduced,none,widowed,regularly,yes,4,school_bus,58
female,group D,high school,standard,none,single,sometimes,yes,3,private,62
male,group D,master's degree,standard,none,married,sometimes,no,1,school_bus,71
male,group E,some high school,free/reduced,completed,single,regularly,yes,0,private,75
female,group D,some college,standard,none,single,sometimes,no,3,private,74
male,group E,some college,standard,none,married,sometimes,yes,3,school_bus,78
male,group C,associate's degree,standard,completed,divorced,regularly,yes,4,private,60
female,group C,some high school,standard,completed,single,sometimes,no,,school_bus,65
female,group B,high school,free/reduced,none,married,never,no,5,school_bus,48
male,group B,some high school,standard,none,single,regularly,yes,0,school_bus,73
male,group D,some high school,standard,none,single,never,no,4,private,56
female,group C,some high school,standard,completed,married,regularly,yes,3,private,60
male,group A,some college,standard,,married,sometimes,no,1,school_bus,53
female,group A,some college,free/reduced,none,married,regularly,no,2,school_bus,51
female,group D,high school,standard,completed,single,sometimes,yes,4,private,88
female,group C,high school,standard,none,single,regularly,yes,0,school_bus,55
female,group C,some high school,standard,none,married,regularly,yes,,,62
male,group B,associate's degree,standard,completed,married,regularly,no,3,school_bus,68
female,group B,associate's degree,standard,,married,regularly,yes,3,school_bus,84
female,group D,high school,free/reduced,completed,divorced,sometimes,no,2,school_bus,52
male,group D,associate's degree,standard,completed,widowed,never,no,5,school_bus,86
female,group D,master's degree,standard,completed,,regularly,yes,2,private,72
male,,some college,standard,completed,widowed,regularly,yes,4,school_bus,86
male,group D,associate's degree,standard,none,married,sometimes,yes,3,private,71
female,group C,,free/reduced,,married,regularly,yes,3,school_bus,52
male,group E,high school,standard,none,single,regularly,no,3,private,86
male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3,private,68
male,group C,associate's degree,standard,none,married,sometimes,yes,3,,71
male,group D,some college,standard,none,married,regularly,no,4,private,70
male,group E,high school,free/reduced,completed,married,sometimes,no,3,private,57
female,group D,high school,standard,completed,married,regularly,no,2,,56
female,group D,master's degree,free/reduced,completed,divorced,never,yes,0,private,47
female,group A,some high school,standard,completed,married,sometimes,yes,0,,57
male,,some college,free/reduced,none,married,,no,2,private,41
female,,some college,free/reduced,none,single,sometimes,yes,3,school_bus,60
male,group C,bachelor's degree,standard,none,married,regularly,yes,2,school_bus,88
male,group C,some high school,free/reduced,none,single,regularly,yes,0,private,71
male,group A,some high school,free/reduced,,single,sometimes,yes,1,private,65
male,group C,some high school,free/reduced,none,married,sometimes,no,3,school_bus,70
male,,associate's degree,free/reduced,none,married,sometimes,,1,private,62
female,group C,high school,standard,none,single,sometimes,yes,3,school_bus,61
male,group C,high school,standard,none,single,never,yes,4,school_bus,57
female,group A,some high school,free/reduced,none,divorced,sometimes,no,,school_bus,45
male,group C,,standard,none,married,sometimes,no,1,,75
male,,some college,free/reduced,completed,married,sometimes,no,7,private,50
male,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,77
male,group D,,free/reduced,none,divorced,sometimes,yes,1,private,75
male,group C,high school,standard,,single,regularly,yes,0,school_bus,69
male,group D,some high school,standard,completed,married,sometimes,,0,school_bus,89
female,group C,,standard,completed,single,regularly,no,1,school_bus,69
female,group D,high school,standard,none,married,sometimes,yes,2,,78
female,group A,some high school,free/reduced,none,married,sometimes,yes,2,school_bus,59
female,,associate's degree,standard,none,,sometimes,no,1,school_bus,70
male,group A,some high school,free/reduced,none,married,sometimes,yes,0,school_bus,79
female,group C,some high school,standard,completed,divorced,regularly,,3,,69
male,group D,some college,free/reduced,none,,regularly,yes,1,school_bus,73
male,group C,high school,standard,completed,single,regularly,yes,2,school_bus,91
male,group B,high school,standard,none,widowed,regularly,yes,4,school_bus,48
male,group B,associate's degree,standard,none,single,regularly,yes,,school_bus,83
female,group C,some college,free/reduced,completed,divorced,sometimes,yes,3,private,64
female,group E,some college,standard,none,married,sometimes,,5,school_bus,100
female,group C,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,68
male,group C,some college,free/reduced,none,married,never,yes,3,private,64
female,group C,associate's degree,free/reduced,none,,regularly,yes,3,private,54
male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0,school_bus,37
female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3,school_bus,79
